name,address,price,foot,footprice,district,"tag"
慧雲峯低層C室,英皇道632號,828,396,20909,北角,"分層單位
大廈
有寵屋苑"
港運城3座中層E室,丹拿道51-61號,980,469,20895,北角,"分層單位
大廈"
康澤花園D座高層5室,英皇道238號,850,407,20884,北角,"分層單位
大廈"
形品高層B室,明園西街38號,718,344,20872,北角,"分層單位
大廈"
兆年大廈低層A室,七姊妹道30-36號,472,227,20792,北角,"分層單位
大廈"
豐昌大廈低層B室,和富道38-48號,700,337,20771,北角,"分層單位
大廈"
城市花園2期10座中層F室,電氣道233號,1300,626,20766,北角,"分層單位
大廈"
海峯園2座(崇峰閣)高層E室,福蔭道1-5號,1380,675,20444,北角,"分層單位
大廈"
丹拿花園5座低層G室,丹拿道18號,1080,529,20415,北角,"分層單位
大廈"
東寶大廈高層F室,英皇道483-497號,788,388,20309,北角,"分層單位
大廈
有寵屋苑"
明軒低層B室,明園西街16-22號,1380,681,20264,北角,"分層單位
大廈
有寵屋苑"
港運城3座中層D室,丹拿道51-61號,950,469,20255,北角,"分層單位
大廈"
愛琴軒高層B室,琴行街2C-2D號,628,313,20063,北角,"分層單位
大廈"
明暉大廈A座高層2室,和富道20-36號,420,210,20000,北角,"分層單位
大廈"
形品低層C室,明園西街38號,600,300,20000,北角,"分層單位
大廈
露台"
城市花園1期4座低層C室,電氣道233號,1880,942,19957,北角,"分層單位
大廈"
海峯園1座(高峰閣)低層F室,福蔭道1-5號,1630,825,19757,北角,"分層單位
大廈"
丹拿花園1座高層G室,丹拿道18號,1180,598,19732,北角,"分層單位
大廈"
建業大廈高層D室,渣華道24號,450,229,19650,北角,"分層單位
大廈"
海峯園2座(崇峰閣)中層F室,福蔭道1-5號,1430,730,19589,北角,"分層單位
大廈"
丹拿花園5座高層C室,丹拿道18號,1100,563,19538,北角,"分層單位
大廈
平台
天台"
和富中心4座中層B室,和富道27號,2080,1073,19384,北角,"分層單位
大廈
有寵屋苑"
康威大廈低層D室,英皇道406-408號,568,295,19254,北角,"分層單位
大廈"
景興閣低層B室,堡壘街48-52號,950,496,19153,北角,"分層單位
大廈
平台"
嘉雲樓高層1室,北角道14A-14C號,1200,629,19077,北角,"分層單位
大廈"
港逸軒低層C室,春秧街128號,350,184,19021,北角,"分層單位
大廈
有寵屋苑"
和富中心1座中層C室,和富道21號,1650,875,18857,北角,"分層單位
大廈
有寵屋苑"
城市花園2期7座中層A室,電氣道233號,1900,1010,18811,北角,"分層單位
大廈"
寶馬花園2座中層C室,馬寶道33號,880,470,18723,北角,"分層單位
大廈"
嘉運大廈中層A室,月園街10-16號,375,202,18564,北角,"分層單位
大廈
有寵屋苑"
