學校英文名稱,學校中文名稱,就讀學生性別,學校級別,資助種類,學校地址,學校所在分區,學校授課時間
TUTOR TIME BRAEMAR HILL INTERNATIONAL KG,多多寶馬山國際幼稚園,男女,幼稚園,私立,香港北角寶馬山道４５號賽西湖商場 地下低層６－１０號舖,東區,下午
TUTOR TIME BRAEMAR HILL INTERNATIONAL KG,多多寶馬山國際幼稚園,男女,幼稚園,私立,香港北角寶馬山道４５號賽西湖商場 地下低層６－１０號舖,東區,上午
THE HONG KONG CHINESE WOMEN'S CLUB KG,香港中國婦女會幼稚園,男女,幼稚園,私立,香港筲箕灣耀東邨 耀福樓地下,東區,全日
STAR OF THE SEA CATHOLIC KINDERGARTEN,天主教海星幼稚園,男女,幼稚園,私立,香港柴灣道２００號 ４樓及５樓部份範圍,東區,全日
STAR OF THE SEA CATHOLIC KINDERGARTEN,天主教海星幼稚園,男女,幼稚園,私立,香港柴灣道２００號 ４樓及５樓部份範圍,東區,下午
STAR OF THE SEA CATHOLIC KINDERGARTEN,天主教海星幼稚園,男女,幼稚園,私立,香港柴灣道２００號 ４樓及５樓部份範圍,東區,上午
ST. PAUL'S CHURCH KG (NORTH POINT),聖保羅堂幼稚園（北角）,男女,幼稚園,私立,香港北角和富道２１－５３號和富中心家居庭商場 高層地面ＵＧ２號舖,東區,下午
ST. PAUL'S CHURCH KG (NORTH POINT),聖保羅堂幼稚園（北角）,男女,幼稚園,私立,香港北角和富道２１－５３號和富中心家居庭商場 高層地面ＵＧ２號舖,東區,上午
ST PETER'S CHURCH KINDERGARTEN,北角聖彼得堂幼稚園,男女,幼稚園,私立,香港北角炮台山道２３號,東區,下午
ST PETER'S CHURCH KINDERGARTEN,北角聖彼得堂幼稚園,男女,幼稚園,私立,香港北角炮台山道２３號,東區,上午
ST JAMES LUTHERAN K/G,路德會聖雅各幼稚園,男女,幼稚園,私立,香港柴灣興華（一）邨 卓華樓地下,東區,全日
ST JAMES LUTHERAN K/G,路德會聖雅各幼稚園,男女,幼稚園,私立,香港柴灣興華（一）邨 卓華樓地下,東區,下午
ST JAMES LUTHERAN K/G,路德會聖雅各幼稚園,男女,幼稚園,私立,香港柴灣興華（一）邨 卓華樓地下,東區,上午
ST DOMINIC ANGLO-CHINESE KINDERGARTEN,聖道明中英文幼稚園,男女,幼稚園,私立,香港柴灣盛泰路１００號杏花邨一座側幼稚園Ａ,東區,全日
ST DOMINIC ANGLO-CHINESE KINDERGARTEN,聖道明中英文幼稚園,男女,幼稚園,私立,香港柴灣盛泰路１００號杏花邨一座側幼稚園Ａ,東區,下午
ST DOMINIC ANGLO-CHINESE KINDERGARTEN,聖道明中英文幼稚園,男女,幼稚園,私立,香港柴灣盛泰路１００號杏花邨一座側幼稚園Ａ,東區,上午
ST ANNA ANGLO-CHINESE KINDERGARTEN,聖安娜中英文幼稚園,男女,幼稚園,私立,香港鰂魚涌太古城道８號觀海台東海閣２樓Ｐ９０１號舖及 太榮路２號南海閣平台,東區,全日
ST ANNA ANGLO-CHINESE KINDERGARTEN,聖安娜中英文幼稚園,男女,幼稚園,私立,香港鰂魚涌太古城道８號觀海台東海閣２樓Ｐ９０１號舖及 太榮路２號南海閣平台,東區,下午
ST ANNA ANGLO-CHINESE KINDERGARTEN,聖安娜中英文幼稚園,男女,幼稚園,私立,香港鰂魚涌太古城道８號觀海台東海閣２樓Ｐ９０１號舖及 太榮路２號南海閣平台,東區,上午
SPRING VIEW KINDERGARTEN,欣苗幼稚園,男女,幼稚園,私立,香港筲箕灣愛禮街２號愛蝶灣 第三座地下,東區,全日
SPRING VIEW KINDERGARTEN,欣苗幼稚園,男女,幼稚園,私立,香港筲箕灣愛禮街２號愛蝶灣 第三座地下,東區,下午
SPRING VIEW KINDERGARTEN,欣苗幼稚園,男女,幼稚園,私立,香港筲箕灣愛禮街２號愛蝶灣 第三座地下,東區,上午
SKH HOLY NATIVITY CHURCH KINDERGARTEN,聖公會主誕堂幼稚園,男女,幼稚園,私立,香港筲箕灣阿公岩道２５號地下,東區,全日
SKH HOLY NATIVITY CHURCH KINDERGARTEN,聖公會主誕堂幼稚園,男女,幼稚園,私立,香港筲箕灣阿公岩道２５號地下,東區,下午
SKH HOLY NATIVITY CHURCH KINDERGARTEN,聖公會主誕堂幼稚園,男女,幼稚園,私立,香港筲箕灣阿公岩道２５號地下,東區,上午
SHAUKIWAN TSUNG TSIN NURSERY SCH,筲箕灣崇真幼兒學校,男女,幼稚園,私立,香港筲箕灣巴色道４號筲箕灣崇真堂 ２樓,東區,全日
SHAUKIWAN KF WEL CMY CTR CKT MEM KG,筲箕灣街坊福利會張錦添紀念幼稚園,男女,幼稚園,私立,香港筲箕灣南安街一零三號,東區,全日
SHAUKIWAN KF WEL CMY CTR CKT MEM KG,筲箕灣街坊福利會張錦添紀念幼稚園,男女,幼稚園,私立,香港筲箕灣南安街一零三號,東區,下午
SHAUKIWAN KF WEL CMY CTR CKT MEM KG,筲箕灣街坊福利會張錦添紀念幼稚園,男女,幼稚園,私立,香港筲箕灣南安街一零三號,東區,上午
SHAU KEI WAN METHODIST KINDERGARTEN,筲箕灣循道衞理幼稚園,男女,幼稚園,私立,香港筲箕灣愛東邨 愛旭樓地下,東區,全日
