學校英文名稱,學校中文名稱,就讀學生性別,學校級別,資助種類,學校地址,學校所在分區,學校授課時間
LING YAN SCHOOL,靈恩學校,男女,幼稚園,私立,香港皇后大道西３２３號 安達中心１樓,中西區,全日
LING YAN SCHOOL,靈恩學校,男女,幼稚園,私立,香港皇后大道西３２３號 安達中心１樓,中西區,下午
LING YAN SCHOOL,靈恩學校,男女,幼稚園,私立,香港皇后大道西３２３號 安達中心１樓,中西區,上午
LES PETITS LASCARS FRENCH INT'L PRESCH,,男女,幼稚園,私立,中環威靈頓街５６及５８號威寧大厦３樓 ３樓３０１及３０２室,中西區,下午
LES PETITS LASCARS FRENCH INT'L PRESCH,,男女,幼稚園,私立,中環威靈頓街５６及５８號威寧大厦３樓 ３樓３０１及３０２室,中西區,上午
KAU YAN SCHOOL,救恩學校,男女,幼稚園,私立,香港西營盤高街９７號Ａ及Ｂ,中西區,全日
KAU YAN SCHOOL,救恩學校,男女,幼稚園,私立,香港西營盤高街９７號Ａ及Ｂ,中西區,下午
KAU YAN SCHOOL,救恩學校,男女,幼稚園,私立,香港西營盤高街９７號Ａ及Ｂ,中西區,上午
ISLAND WALDORF SCHOOL,香島華德福學校,男女,幼稚園,私立,香港士美菲路７１－７７號嘉輝花園低層地下入口 及地下１號舖,中西區,下午
ISLAND WALDORF SCHOOL,香島華德福學校,男女,幼稚園,私立,香港士美菲路７１－７７號嘉輝花園低層地下入口 及地下１號舖,中西區,上午
INTERNATIONAL MONTESSORI SCH - AN IMEF,蒙特梭利國際學校,男女,幼稚園,私立,香港上環普仁街１７號東輝花園 １樓１室及閣樓,中西區,下午
INTERNATIONAL MONTESSORI SCH - AN IMEF,蒙特梭利國際學校,男女,幼稚園,私立,香港上環普仁街１７號東輝花園 １樓１室及閣樓,中西區,上午
IMPERIAL CHILDREN KG (KENNEDY TOWN),茵晴幼稚園（堅尼地城）,男女,幼稚園,私立,香港堅尼地城爹核士街３號Ｃ厚和大廈 １樓及２樓,中西區,下午
IMPERIAL CHILDREN KG (KENNEDY TOWN),茵晴幼稚園（堅尼地城）,男女,幼稚園,私立,香港堅尼地城爹核士街３號Ｃ厚和大廈 １樓及２樓,中西區,上午
HONG KONG TRUE LIGHT KG (CAINE ROAD),香港真光幼稚園（堅道）,男女,幼稚園,私立,香港堅道７５號地下至二樓,中西區,全日
HONG KONG TRUE LIGHT KG (CAINE ROAD),香港真光幼稚園（堅道）,男女,幼稚園,私立,香港堅道７５號地下至二樓,中西區,下午
HONG KONG TRUE LIGHT KG (CAINE ROAD),香港真光幼稚園（堅道）,男女,幼稚園,私立,香港堅道７５號地下至二樓,中西區,上午
