專營巴士路線列表				
港島巴士				
930A	荃灣（愉景新城）	←	灣仔（菲林明道）	只限平日繁忙時間服務
930B	葵盛（東）	→	銅鑼灣（摩頓台）	只限平日上午繁忙時間服務
930X	荃灣（愉景新城）	⇄	銅鑼灣（摩頓台）	
933	荃灣西站	⇄	西灣河	只限平日繁忙時間服務
934	荃灣（灣景花園）	⇄	灣仔（菲林明道）	
934A	荃灣（荃威花園）	⇄	灣仔（菲林明道）	只限平日繁忙時間服務
935	石籬（大隴街）	⇄	灣仔（菲林明道）	只限平日繁忙時間服務；早上部分往港島班次以安蔭為起點
936	石圍角	⇄	銅鑼灣（棉花路）	
936A	石圍角	→	梨木樹	只限平日繁忙時間服務
936A	石圍角	←	銅鑼灣（棉花路）	只限平日繁忙時間服務
948	青衣（長安邨）	⇄	天后站	
948A	青衣（長安邨）	→	天后站	只限平日上午繁忙時間服務
948B	青衣（翠怡花園）	→	天后站	只限平日上午繁忙時間服務
948P	青衣（長安邨）	→	天后站	只限平日上午繁忙時間服務
948X	青衣（長宏邨）	→	天后站	只限平日上午繁忙時間服務
950	屯門（菁田及和田）	⇄	會展站	只限平日繁忙時間服務
952	屯門（置樂花園）	⇄	銅鑼灣（摩頓台）	平日09:19或之前往港島的班次以金鐘（西）為終點站
952C	掃管笏	→	太古（康怡廣場）	只限平日繁忙時間服務
952C	掃管笏	←	鰂魚涌（新威園）	只限平日繁忙時間服務
952P	屯門（置樂花園）	→	銅鑼灣（摩頓台）	只限平日上午繁忙時間服務
955	屯門（菁田及和田）	⇄	西灣河	只限平日繁忙時間服務
960	屯門（建生邨）	⇄	會展站	
960A	中環（砵典乍街）	→	洪水橋（洪福邨）	只限平日下午繁忙時間服務
960C	屯門（富泰邨）	⇄	銅鑼灣（維多利亞公園）	只限平日繁忙時間服務
960P	洪水橋（洪元路）	→	銅鑼灣（維多利亞公園）	只限每日上午繁忙時間服務
960P	洪元路（洪福邨）	←	銅鑼灣（維多利亞公園）	只限每日上午繁忙時間服務
960S	屯門（富泰邨）	⇄	銅鑼灣（維多利亞公園）	只限平日繁忙時間服務
961	屯門（山景邨）	⇄	灣仔（會議展覽中心）	每日指定班次繞經銅鑼灣
961P	屯門（良景邨）	→	銅鑼灣（維多利亞公園）	只限平日上午繁忙時間服務
961S	屯門（良景邨）	→	銅鑼灣（維多利亞公園）	只限平日上午繁忙時間服務
962	屯門（龍門居）	⇄	銅鑼灣（摩頓台）	只限平日繁忙時間服務
962A	屯門（悅湖山莊）	→	金鐘（力寶中心）	只限平日上午繁忙時間服務
962C	屯門（龍門居）	→	太古（康怡廣場）	只限平日繁忙時間服務
962C	太古（康怡廣場）	←	鰂魚涌（新威園）	只限平日繁忙時間服務
962P	屯門（龍門居）	→	銅鑼灣（摩頓台）	只限平日上午繁忙時間服務
962X	屯門（龍門居）	⇄	銅鑼灣（摩頓台）	
967	天水圍（天恩邨）	⇄	金鐘（西）	
967X	天水圍（天恩邨）	→	銅鑼灣（禮頓道）	只限每日繁忙時間服務
967X	銅鑼灣（禮頓道）	←	銅鑼灣（摩頓台）	只限每日繁忙時間服務
968	元朗（西）	⇄	銅鑼灣（天后）	
968A	元朗（西）	→	銅鑼灣（天后）	只限平日上午繁忙時間服務
969	天水圍市中心	⇄	銅鑼灣（摩頓台）	每日18:45後往港島方向以天水圍（天恩邨）為起點站
969A	灣仔（菲林明道）	→	天水圍北（天葵路）	只限平日下午繁忙時間服務
969B	天水圍市中心	⇄	灣仔	只限平日繁忙時間服務
969C	嘉湖山莊美湖居	→	太古（康怡廣場）	只限平日繁忙時間服務
969C	天水圍（天瑞邨）	←	鰂魚涌（新威園）	只限平日繁忙時間服務
969N	天水圍市中心	→	銅鑼灣（摩頓台）	只限每日清晨時段服務
969P	天水圍市中心	→	銅鑼灣（摩頓台）	只限平日上午繁忙時間服務
970	數碼港	⇄	蘇屋	
970X	香港仔	⇄	長沙灣（甘泉街）	
971	香港仔（石排灣）	⇄	海麗邨	
973	尖沙咀東（麼地道）	⇄	赤柱市場	星期六、日及公眾假期之部份班次繞經海洋公園
976	新田	⇄	西灣河	只限平日繁忙時間服務
976A	新田	⇄	小西灣（藍灣半島）	只限平日繁忙時間服務
978	粉嶺（華明）	⇄	會展站	
978A	粉嶺（聯和墟）	⇄	會展站	只限平日繁忙時間服務
978B	粉嶺（置福圍）	→	會展站	只限平日上午繁忙時間服務
979	粉嶺皇后山邨	⇄	中環（香港站）	只限平日繁忙時間服務
980A	碩門邨	→	灣仔（菲林明道）	只限平日上午繁忙時間服務
